curve_id,normal_stress_mpa,step_idx,time_s,shear_displacement_mm,dilation_proxy_mm,raw_shear_load_kn,shifted_shear_load_kn,calibrated_shear_stress_mpa
direct_shear_full_1MPa,1.0,0,0.1,0.0,0.0,1.266,2.126,0.056448908267388596
direct_shear_full_1MPa,1.0,1,0.2,0.0,0.0,1.219,2.0789999999999997,0.055200978498542275
direct_shear_full_1MPa,1.0,2,0.3,-0.004000000000000448,-0.004,0.81,1.67,0.0443413343398584
direct_shear_full_1MPa,1.0,3,0.4,-0.004000000000000448,-0.004,0.621,1.4809999999999999,0.039323063567263644
direct_shear_full_1MPa,1.0,4,0.5,-0.004000000000000448,-0.004,0.567,1.4269999999999998,0.037889271917950856
direct_shear_full_1MPa,1.0,5,0.6,-0.007000000000000561,-0.007,0.492,1.3519999999999999,0.035897894627238656
direct_shear_full_1MPa,1.0,6,0.7,-0.009000000000000341,-0.009,0.438,1.2979999999999998,0.03446410297792587
direct_shear_full_1MPa,1.0,7,0.8,-0.008000000000000007,-0.008,0.377,1.2369999999999999,0.03284444944814661
direct_shear_full_1MPa,1.0,8,0.9,-0.009000000000000341,-0.009,0.34,1.2,0.031862036651395254
direct_shear_full_1MPa,1.0,9,1.0,-0.0129999999999999,-0.013,0.281,1.141,0.030295486516034992
direct_shear_full_1MPa,1.0,10,1.1,-0.012000000000000455,-0.012,0.224,1.0839999999999999,0.028782039775093714
direct_shear_full_1MPa,1.0,11,1.2,-0.014000000000000234,-0.014,0.189,1.049,0.027852730372761352
direct_shear_full_1MPa,1.0,12,1.3,-0.016000000000000014,-0.016,0.134,0.9939999999999998,0.026392387026239066
direct_shear_full_1MPa,1.0,13,1.4,-0.016000000000000014,-0.016,0.1,0.96,0.025489629321116206
direct_shear_full_1MPa,1.0,14,1.5,-0.017000000000000348,-0.017,0.052,0.9119999999999999,0.024215147855060393
direct_shear_full_1MPa,1.0,15,1.6,-0.018000000000000682,-0.018,0.016,0.8759999999999999,0.023259286755518534
direct_shear_full_1MPa,1.0,16,1.7,-0.020999999999999908,-0.021,-0.032,0.8279999999999998,0.021984805289462724
direct_shear_full_1MPa,1.0,17,1.7,-0.020999999999999908,-0.021,-0.074,0.7859999999999998,0.02086963400666389
direct_shear_full_1MPa,1.0,18,1.8,-0.02200000000000024,-0.022,-0.093,0.7669999999999999,0.020365151759683467
direct_shear_full_1MPa,1.0,19,1.9,-0.023000000000000576,-0.023,-0.138,0.722,0.019170325385256145
direct_shear_full_1MPa,1.0,20,2.0,-0.02600000000000069,-0.026,-0.167,0.6929999999999998,0.018400326166180758
direct_shear_full_1MPa,1.0,21,2.1,-0.02400000000000002,-0.024,-0.202,0.6579999999999999,0.017471016763848397
direct_shear_full_1MPa,1.0,22,2.2,-0.02600000000000069,-0.026,-0.231,0.6289999999999998,0.01670101754477301
direct_shear_full_1MPa,1.0,23,2.3,-0.028999999999999915,-0.029,-0.262,0.5979999999999999,0.015877914931278634
direct_shear_full_1MPa,1.0,24,2.4,-0.02800000000000047,-0.028,-0.285,0.575,0.015267225895460226
direct_shear_full_1MPa,1.0,25,2.5,-0.028999999999999915,-0.029,-0.314,0.5459999999999998,0.014497226676384837
direct_shear_full_1MPa,1.0,26,2.6,-0.031000000000000583,-0.031,-0.344,0.516,0.013700675760099961
