Target,Method,$\sigma_n$,RMSE,$R^2$
Shear stress,GeoSPIN,1 MPa,0.0756379573005082,0.5383348279097109
Shear stress,GeoSPIN,2 MPa,0.0822866346049563,0.7638316164944872
Shear stress,GeoSPIN,3 MPa,0.1150976728398632,0.8225561973171417
Shear stress,C-BB,1 MPa,0.2166954393035203,-2.7891960108021743
Shear stress,C-BB,2 MPa,0.2850358373686437,-1.8337536306820472
Shear stress,C-BB,3 MPa,0.4397750571099676,-1.5905318601369292
Dilation proxy,GeoSPIN,1 MPa,0.0496868023225439,0.9997545288446338
Dilation proxy,GeoSPIN,2 MPa,0.0460114838876973,0.999795326231045
Dilation proxy,GeoSPIN,3 MPa,0.0329929976021679,0.999896017220457
Dilation proxy,C-BB,1 MPa,1.4021331143674054,0.8045224607266057
Dilation proxy,C-BB,2 MPa,1.3095559930130658,0.8342025478250773
Dilation proxy,C-BB,3 MPa,1.3368548782972425,0.8292792139558403
