curve_id,joint_profile,immersion_days,normal_stress_mpa,num_points,peak_shear_stress_mpa,peak_shear_displacement_mm,final_shear_stress_mpa,final_shear_displacement_mm
JA_d0_n1,JA,0,1.0,103,1.27995,1.93732,0.8615,9.97151
JA_d0_n2,JA,0,2.0,96,2.3101,2.36467,1.77513,10.0
JA_d0_n3,JA,0,3.0,115,3.41788,1.9943,2.57545,10.0
JA_d0_n4,JA,0,4.0,93,4.46802,2.42165,3.48313,10.02849
JA_d0_n5,JA,0,5.0,118,5.71879,2.64957,4.33097,10.02849
JA_d30_n1,JA,30,1.0,61,1.34898,1.80036,1.10121,10.02452
JA_d30_n2,JA,30,2.0,79,2.29358,2.06711,1.72,10.02017
JA_d30_n3,JA,30,3.0,112,3.17967,3.26464,2.57746,10.01513
JA_d30_n4,JA,30,4.0,73,4.01691,2.35556,3.24172,9.95055
JA_d30_n5,JA,30,5.0,93,5.18605,2.529,4.23256,10.00462
JA_d180_n1,JA,180,1.0,67,1.1597,1.69231,0.89354,10.0
JA_d180_n2,JA,180,2.0,73,2.22738,1.46154,1.7,10.02564
JA_d180_n3,JA,180,3.0,59,3.1749,2.12821,2.37643,10.05128
JA_d180_n4,JA,180,4.0,58,3.74525,1.84615,3.1749,8.82051
JA_d180_n5,JA,180,5.0,72,4.93916,2.97436,4.17771,10.02564
JA_d360_n1,JA,360,1.0,69,1.21339,1.1509,0.8159,10.02558
JA_d360_n2,JA,360,2.0,82,1.86982,1.91816,1.34762,10.02558
JA_d360_n3,JA,360,3.0,97,2.82427,2.30179,2.38,10.05115
JA_d360_n4,JA,360,4.0,114,3.68201,2.37852,3.16,10.0
JA_d360_n5,JA,360,5.0,116,4.55658,2.711,3.54394,10.02558
JB_d0_n1,JB,0,1.0,103,1.47604,0.88571,0.90063,9.97143
JB_d0_n2,JB,0,2.0,122,2.544,2.62857,1.632,10.02857
JB_d0_n3,JB,0,3.0,110,3.90413,1.42857,2.44008,9.97143
JB_d0_n4,JB,0,4.0,87,4.608,2.05714,3.3,10.02857
JB_d0_n5,JB,0,5.0,121,5.664,2.22857,3.984,10.0
JB_d30_n1,JB,30,1.0,53,1.41335,1.1747,0.85334,9.8494
JB_d30_n2,JB,30,2.0,69,2.41159,1.3253,1.6,10.0
JB_d30_n3,JB,30,3.0,99,3.45763,1.65663,2.35,10.0
JB_d30_n4,JB,30,4.0,91,4.53771,2.5,3.26823,10.03012
JB_d30_n5,JB,30,5.0,77,5.59078,1.77711,3.84201,10.03012
JB_d180_n1,JB,180,1.0,64,1.21345,2.8133,0.78618,9.97442
JB_d180_n2,JB,180,2.0,57,2.39544,1.20205,1.57414,10.0
JB_d180_n3,JB,180,3.0,72,3.36135,4.24552,2.84058,10.02558
JB_d180_n4,JB,180,4.0,83,4.30217,3.42711,3.17441,10.0
JB_d180_n5,JB,180,5.0,102,5.40924,2.45524,4.19492,9.97442
JB_d360_n1,JB,360,1.0,97,1.46694,1.21391,0.80579,9.9959
JB_d360_n2,JB,360,2.0,85,2.25207,1.38803,1.40496,10.06919
JB_d360_n3,JB,360,3.0,111,3.36135,1.99525,2.25,10.06519
JB_d360_n4,JB,360,4.0,100,4.30217,1.93763,2.8,10.03585
JB_d360_n5,JB,360,5.0,105,5.40924,1.88264,3.65,9.98013
JC_d0_n1,JC,0,1.0,82,1.8217,1.48148,1.06789,10.0
JC_d0_n2,JC,0,2.0,91,2.97149,1.50997,2.08984,9.80057
JC_d0_n3,JC,0,3.0,125,4.29572,1.85185,2.98833,9.97151
JC_d0_n4,JC,0,4.0,123,5.84778,2.33618,3.70988,10.0
JC_d0_n5,JC,0,5.0,126,6.97276,2.93447,4.88716,10.0
JC_d30_n1,JC,30,1.0,53,1.49638,2.16867,1.12228,10.03012
JC_d30_n2,JC,30,2.0,96,2.84928,1.38554,1.86402,10.03012
JC_d30_n3,JC,30,3.0,103,4.15025,1.74699,2.86426,10.0
JC_d30_n4,JC,30,4.0,100,5.39137,1.83735,3.72,10.0
JC_d30_n5,JC,30,5.0,99,6.32218,2.3494,4.87214,10.12048
JC_d180_n1,JC,180,1.0,58,1.5057,2.66667,0.9,10.05128
JC_d180_n2,JC,180,2.0,74,2.71483,1.38462,1.77947,10.02564
JC_d180_n3,JC,180,3.0,89,3.8327,1.84615,2.71483,10.07692
JC_d180_n4,JC,180,4.0,87,4.92776,2.10256,3.49049,10.05128
JC_d180_n5,JC,180,5.0,99,5.70014,2.05128,4.5,10.0
JC_d360_n1,JC,360,1.0,97,1.36882,1.84615,0.86,10.0
JC_d360_n2,JC,360,2.0,110,2.62357,2.53846,1.72,10.02564
JC_d360_n3,JC,360,3.0,78,3.74144,2.23077,2.68,10.05128
JC_d360_n4,JC,360,4.0,81,4.24335,2.66667,3.42205,10.10256
JC_d360_n5,JC,360,5.0,117,5.68061,2.87179,4.38023,10.05128
