reference,specimen_length_mm,jrc,ucs_mpa,youngs_modulus_gpa,normal_stress_mpa,peak_shear_stress_mpa
Mengetal.(2016),100.0,8.9,191.24,20.74,3.0,5.18
Mengetal.(2016),100.0,10.3,191.24,20.74,3.0,5.05
Mengetal.(2016),100.0,10.8,191.24,20.74,10.0,13.55
Mengetal.(2016),100.0,11.1,191.24,20.74,10.0,12.79
Mengetal.(2016),100.0,9.4,191.24,20.74,10.0,12.51
Mengetal.(2016),100.0,9.5,191.24,20.74,10.0,12.2
Mengetal.(2016),100.0,10.6,191.24,20.74,20.0,24.4
Wangetal.(2016),200.0,10.61,41.8,10.35,2.0,3.582
Wangetal.(2016),200.0,10.61,41.8,10.35,2.0,3.257
Wangetal.(2016),200.0,10.61,41.8,10.35,2.0,3.21
Wangetal.(2016),200.0,10.61,41.8,10.35,2.0,2.839
Wangetal.(2016),200.0,10.61,41.8,10.35,2.0,2.642
Wangetal.(2016),200.0,19.05,41.8,10.35,2.0,5.053
Wangetal.(2016),200.0,19.05,41.8,10.35,2.0,4.975
Wangetal.(2016),200.0,19.05,41.8,10.35,2.0,4.514
Wangetal.(2016),200.0,19.05,41.8,10.35,2.0,4.212
Wangetal.(2016),200.0,19.05,41.8,10.35,2.0,4.101
Wangetal.(2016),200.0,3.61,41.8,10.35,2.0,2.679
Wangetal.(2016),200.0,3.61,41.8,10.35,2.0,2.525
Wangetal.(2016),200.0,3.61,41.8,10.35,2.0,2.458
Wangetal.(2016),200.0,3.61,41.8,10.35,2.0,2.283
Wangetal.(2016),200.0,3.61,41.8,10.35,2.0,2.244
Wangetal.(2016),200.0,8.16,41.8,10.35,2.0,3.28
Wangetal.(2016),200.0,8.16,41.8,10.35,2.0,3.087
Wangetal.(2016),200.0,8.16,41.8,10.35,2.0,3.041
Wangetal.(2016),200.0,8.16,41.8,10.35,2.0,2.736
Wangetal.(2016),200.0,8.16,41.8,10.35,2.0,2.597
"Wangetal.,2020",200.0,7.36,47.4,28.7,2.0,2.01
"Wangetal.,2020",200.0,7.36,47.4,28.7,2.0,1.88
"Wangetal.,2020",200.0,7.36,47.4,28.7,2.0,1.8
"Wangetal.,2020",200.0,7.36,47.4,28.7,2.0,1.78
Liuetal.(2021),200.0,7.36,50.0,28.7,2.0,2.01
Liuetal.(2021),200.0,7.36,50.0,28.7,2.0,2.05
Liuetal.(2021),200.0,7.36,50.0,28.7,2.0,1.72
Liuetal.(2021),200.0,7.36,50.0,28.7,2.0,1.93
Liuetal.(2021),200.0,7.36,50.0,28.7,2.0,1.96
